"year","year_Am_out_Am","year_Eu_out_Am","year_As_out_Am","year_Am_out_Eu","year_Eu_out_Eu","year_As_out_Eu","year_Am_out_As","year_Eu_out_As","year_As_out_As"
2010-01-01,13.5723247633411,9.62761087682267,9.86779993382817,8.3407009512274,16.4023275092908,6.92449718167085,8.81103665201246,7.93606697749896,13.110671699091
2011-01-01,12.0899088412709,8.08567936258625,8.50037986117355,8.02381596650303,15.1352415506791,8.52330853554279,7.22902899853298,7.33448869095883,12.4362831570977
2012-01-01,12.5586142986072,8.82801712521736,8.94212731248195,7.5000242742059,14.638160709168,7.42823529088524,7.93087952563677,7.54143944788308,12.5874289054903
2013-01-01,11.9669818410576,10.119049266509,7.46039738746448,8.0683966720286,15.2834871023592,7.29476742260775,7.13306178128772,6.6952289447952,10.7870383377363
2014-01-01,11.464461100352,9.72592587179891,8.21297873363563,8.77712201167755,15.8350409348746,8.10510949736377,7.35951312391333,7.37113563571033,11.7245388620925
2015-01-01,12.5077023333794,9.15247203473267,8.74986317058982,5.83580717654922,14.3382194168191,6.72688357970631,6.7220258645894,7.04654967740638,12.0434541106933
2016-01-01,12.1665890917983,9.74643620624468,7.43176976734788,7.38932286158916,14.7217557993698,7.07032642921641,6.52031788885056,7.11711650254519,13.9065360543387
2017-01-01,13.1387573564819,8.21187766142571,9.38164292673003,8.05468912145727,15.1332768510615,8.21683404636698,7.74664335389385,8.61703252963521,12.9622837462834
2018-01-01,11.1794772369244,8.84341903668568,8.88694940366405,7.32481147716399,14.0516240430594,8.06278731610439,7.87793665380474,8.25679255153762,13.4230761653519
2019-01-01,12.5892602116404,6.55896699291477,6.10320710149131,7.08692366711758,13.763013856123,7.62881416338924,7.02215895021195,6.65828564915269,13.6103704613215
2020-01-01,13.2128705697039,8.07889308750906,8.89014612103917,8.00706315236596,16.8218048301821,7.68516677564381,7.86030600378667,6.90855156674437,11.5569817025579
2021-01-01,12.0039842693935,9.86493241145934,8.6878818737936,9.34604150994386,14.7501100215278,7.9753708180427,6.47440249455472,7.08375983124493,11.3571520665362
2022-01-01,11.6961768790076,7.1713917684369,7.41930821854344,7.28618004611391,15.5202087462333,7.19086244464563,8.23689542451478,6.74490968211768,14.1163932455116
2023-01-01,13.2269572750252,7.27993091601742,6.89991771789272,9.25992861395514,13.9338063823606,6.56523364559128,8.10741260873562,6.21815819043491,13.4277488639827
