"Americas_in","Asia_in","Europe_in","Americas_out","Asia_out","Europe_out"
34.2018229049405,32.4332863703977,23.2037255938124,25.1797605742731,37.936252401925,26.7228218929526
33.8921376730364,34.6079003933539,29.575588520505,30.0777294788712,39.0915587493507,28.9063383586733
31.1920622766456,34.1913580718258,26.6908819554446,29.7968307628871,33.3392132230574,28.9382583179715
31.9385132785915,33.6210463521057,25.4609562739788,29.0064515909971,33.6836760373383,28.3303882763405
32.4142355003263,32.403055987899,24.9583683349246,28.084703106844,32.4849210053374,29.2060357109685
32.1002492353524,32.6426827184384,29.2050753240198,30.763818603174,32.9197159090324,30.2644727656042
33.3923199135167,31.2638659732887,30.4806975583493,31.7246725447539,33.5115970704083,29.9006138299925
33.0578834050999,32.2928866514565,27.3480665834058,30.1809018969591,33.1827162526503,29.3352184903528
34.1663243332164,33.316289836985,26.9901565397477,31.0187505514259,32.4477568941272,31.006263264396
33.6685183879013,32.8984001804836,29.73638652106,32.1724388557658,33.435908429085,30.6949578045941
33.5800620999187,32.9838469619243,28.1164513488621,32.5889978722381,31.8447874971997,30.2465750412674
32.5478727526624,31.783089582517,31.9622842387663,33.3976093005954,34.3679733055126,28.5276639678378
34.28119258417,31.1212839900766,30.4881068076424,32.2316344992018,34.089069010704,29.5698798719831
30.9123346310141,29.8656852321704,31.6505186122628,31.4485835754148,33.225099986021,27.7548549140114
35.3352580671946,30.8542134876639,31.8156107804954,32.2479490357171,35.1815777741971,30.5755555254397
33.0656247580051,31.0747094243667,32.8374487212447,33.1678033745639,34.8965664629048,28.9134130661479
30.9614152675694,30.4013563909275,32.65131809713,32.7252159850305,33.4679631840255,27.8209105865709
32.7253951854184,32.3449018488608,32.3478552979923,33.8223681265954,33.9622478841966,29.6335363214795
33.4429372262573,31.659904197551,32.4504163397697,33.1943143770817,34.2849852102969,30.0739581761994
32.7639947602224,30.7414561403222,31.648194856092,31.9363195754926,33.679305158194,29.5380210229499
33.7428724610474,31.4222617350914,31.6817358169212,32.2230635216007,33.6400969206698,30.9837095707895
33.0439624161496,29.70212725968,31.6212594134665,29.8039289107489,33.5959191353491,30.9675010431981
33.1250574757175,31.6760438754189,30.0861668616966,30.554517812199,32.7505090386217,31.5822413620123
32.3874991025382,32.2547456878192,30.8388165166948,30.7152792845868,33.9868721214001,30.7789099010653
33.1133751256869,32.9456258744067,32.1600650546945,31.8428711497166,34.4940901219788,31.8821047830927
33.5731199397566,32.1741867236774,31.45324186221,32.3103682916689,34.7203275419705,30.1698526920046
32.780127700976,29.5215987671671,30.320668080469,28.6902160506031,34.0855295521458,29.8466489458632
31.994800366511,28.9380394891801,30.7364588806393,28.6416244513441,33.3051903298006,29.7224839551857
32.8882903934527,30.6414963334542,27.8643034924665,29.1889141440255,32.8382761834745,29.3668998918734
33.4862937893488,31.2644610635803,29.152444609961,29.8195632272656,33.5609399578973,30.5226962777272
33.2823734348953,28.1443932926104,29.7919286826893,26.8344558223169,34.5250160669936,29.8592235208845
32.5446655179162,32.185307958153,29.2933098973662,29.7436799984856,32.9217120385611,31.3578913363886
34.5280437301263,33.0056492846191,29.4571608886024,30.9245093101876,34.0406513626059,32.0256932305544
33.4602090707635,29.7756376356872,30.6366609198932,28.8658075366575,34.4842278334921,30.5224722561943
33.7799003237718,32.2106027034564,30.3098072178075,30.4165296310437,34.8279380759088,31.0558425380832
33.4680645508364,33.414098026036,30.3853721895085,30.5588400000951,35.1573196238519,31.5513751424339
30.3902982312092,33.5454701268057,31.0897640412317,29.6586632999115,34.2301839585489,31.1366851407862
28.4212901850176,34.1010415000589,30.2205122603023,29.8021039074277,32.9848636651806,29.9558763727706
28.286214702253,32.0398841136882,27.3115605446162,27.6559103082215,30.8915486671193,29.0902003852165
29.5235743383692,31.0510361370756,29.9731472720479,28.5256591774909,31.9629767537403,30.0591218162614
25.9825148323819,31.4791609741781,30.8958920428393,27.9441876331347,29.9882552991491,30.4251249171154
27.5737075500898,31.0358089929756,31.2209264499447,27.8900343546707,31.3506606882732,30.5897479500662
27.3764779843679,28.5906178204718,31.1261931293795,26.2617527853015,30.8737936242104,29.9577425247074
29.0709755638225,30.2495129508575,29.9369804096951,27.2358977903587,31.0372579382099,30.9843131958065
28.7093202384105,30.597107649315,29.3675170775858,27.3162442178838,30.5082437362747,30.8494570111527
26.500494054002,30.8351370138763,30.1184029425029,26.9844792840728,29.5229814104638,30.9465733158445
26.8636366453672,30.3818159811264,29.0559702028961,26.5725310724015,29.5109987850684,30.2178929719199
27.4976535808171,31.4347406124105,31.2319220847154,28.0637080761748,31.1106045531777,30.9900036485906
26.3435159327879,32.8268006189183,32.6329883465944,29.377693681358,30.6081560537393,31.8174551632034
25.7242106778338,32.9489143956289,31.2587986262274,28.9930447005558,30.1629383472804,30.775940651854
25.8755169926812,31.1625029437296,28.9473226717682,26.6026848333728,30.4222090240706,28.9604487507355
27.827368653412,31.7444181745168,29.3909558443785,27.6034378391325,30.786283028227,30.5730218049478
31.1977089750553,32.4417721708337,28.9942613221055,29.1026777068062,31.2524516030687,32.2786131581196
28.2220095094701,32.8903334303531,28.4131083438995,28.7557054930777,30.3320691981588,30.4376765924862
28.4958969020085,33.7878473277574,29.7647802134402,29.888090706193,31.0950419711211,31.0653917658919
32.2432557770325,33.4301845341715,28.3277567172207,28.9096761459518,32.0105860933825,33.0809347890905
26.933166508084,30.7034872503563,28.5720458012398,26.5288175436151,30.2979887260204,29.3818932900446
26.9963273837293,32.4753206632149,26.5243872223351,26.7102451168859,29.2917607433846,29.9940294090087
26.760282585048,32.2098954606007,28.0161133305912,28.1043811035909,28.6580190650332,30.2238912076159
28.5593085401488,33.9941616179811,26.9136610781252,28.3034215470591,30.11702389543,31.046685793766
30.3891782301263,32.8851759972635,20.693769547636,26.7911576863821,27.7342927508171,29.4426733378266
28.3869753797251,32.8819556372051,27.8374812808339,28.0256099976004,30.0213009111767,31.0595013889869
31.1773308571831,33.2029733527595,28.5033593038083,28.9776219903323,32.6104756323339,31.2955658910847
27.8897671408393,32.478811752777,27.342272591777,27.7067469152411,30.6846220358048,29.3194825343474
29.3099918539275,31.103480033519,27.5380382653146,27.9453761686424,31.7971668985956,28.2089670855231
31.6940922294462,34.0089919953245,25.1198862137025,28.369157229431,33.4071589027945,29.0466543062477
29.1517944206308,32.9769876798429,26.1019954692089,26.7432844383807,32.0876340540766,29.3998590772254
29.5233650881613,34.2694258532039,27.4417029818319,27.2394664991787,34.2784984469346,29.7165289770837
30.8883625044555,33.5624556289141,23.9701256311551,25.5092948397444,32.2797846100432,30.631864314737
28.7019663749136,32.503104455968,24.4081237697735,25.7055595474454,31.268607282673,28.6390277705368
30.0324036814771,31.7253124508586,25.9096940463127,26.7547366416418,31.6706088417054,29.2420646953013
31.2617568395986,34.3321374766067,23.3109631510825,26.3459808599256,32.1558653516172,30.4030112557451
31.6546722625164,32.9866364473371,25.2223918015528,26.8171732706971,33.4752401741423,29.5712870665668
27.0853100729571,32.0684822532786,22.6283123631034,25.4190251721714,28.8846649352264,27.4784145819413
30.2227751913561,30.1862439116507,24.6231423143166,27.311836101121,30.286426559337,27.4338987568654
31.0701890904077,31.3815062198749,22.5978187671503,26.6057802457208,30.2923708537379,28.1513629779743
29.0456697347073,31.3992343952358,23.8128923742216,27.0419839691821,29.7638060881242,27.4520064468583
28.2158854653492,32.9153747833985,22.665403024671,26.9405738664594,28.9867871102345,27.869302296725
27.9075132361904,29.4911601607403,22.2405386992802,25.3108837509209,27.8240148783235,26.5043134669665
26.8261963235785,27.4405606772805,23.9857164291798,24.3184565455071,27.9908888129813,25.9431280715503
27.7091100487003,30.9824368909368,26.6469358273358,27.7450514118092,30.4271844780882,27.1662468770754
27.9717001137405,28.1558560410906,22.8933852935208,24.3929510801823,27.3281122547981,27.2998781133714
27.7107474610803,26.6326242796705,23.9567657419984,24.698615179551,28.11526641763,25.4862558855681
27.7512301572737,29.9998452012044,24.1929297571481,26.3889178641127,28.4597939676763,27.0952932838372
28.4794231375462,29.3110341672657,24.4827003638069,26.8907884233207,28.4601153917004,26.9222538535977
29.2900533817044,29.9788226906085,23.0993710477546,26.8683373106989,27.9065108829012,27.5933989264673
26.960088209768,29.251333820943,23.0735877999883,25.6089425978145,26.519884443999,27.1561827888859
29.3971503313457,27.8046529000049,25.9145299461741,26.0427392534606,29.5034888856989,27.570105038365
30.4862715730712,28.8079663536307,26.664446423601,27.2158631044752,30.3708973924889,28.3719238533389
31.9863391013267,30.9486820881645,27.3848958214609,29.1983845743307,30.9405476913347,30.1809847452867
32.1025371355958,29.3052348667843,27.0613093906506,28.0806772482972,31.4407628374168,28.9476413073167
31.3078606942322,30.6915917329335,27.3274992167549,28.6107566295472,30.7834676905783,29.9327273237951
32.1090941438097,29.7399927679392,27.6321004045231,28.0771937497213,32.1989109814478,29.2050825851029
30.118333554415,30.869355648518,29.5345305714383,29.754490578144,31.2463398560952,29.5213893401322
31.6293746699296,30.9595218217458,29.0600125224139,30.6266921399455,31.3432149977074,29.6790018764365
29.8045645621114,30.5251387301276,28.4455595797298,29.4824538894493,30.2585003588642,29.0343086236552
29.4980027825978,32.4574314811832,28.7872281910131,29.9915661156831,31.2543314511334,29.4967648879776
32.7440913459064,29.1735209004979,27.6753098109756,28.2006240345283,31.5249023199178,29.8673957029338
31.5562903578695,30.7438387697279,28.2693311488294,29.3442938120949,30.924983228453,30.3001832358789
31.0282059380261,31.7490117302596,28.2692531868526,30.255071208613,30.9397248242704,29.8516748222549
