"month","month_Americas_out","month_Europe_out","month_Asia_out","month_Americas_in","month_Europe_in","month_Asia_in","total_out"
2010-05-01,28.4290951027745,28.4207685113813,35.3071242834018,32.7277543267081,25.9779041357331,33.4513294351164,92.1569878975576
2010-06-01,30.9220358990782,30.1266420875864,33.0154465315546,33.1791942217964,28.5059990013807,32.3789312950422,94.0641245182192
2010-07-01,32.5976701319503,29.7597691714206,33.4344345606253,33.5194114561631,30.0758072290827,32.1966551787504,95.7918738639962
2010-08-01,32.6823840194643,28.9396540827299,34.146691058269,32.6000055818403,32.260550301825,30.9081732767979,95.7687291604632
2010-09-01,31.789406596231,30.3907974532842,33.8000766061274,33.2484417159192,31.8504016065624,30.8814373331612,95.9802806556427
2010-10-01,30.8226505177549,30.8519515368076,34.0074656752234,32.995835868935,30.971791675153,31.7144401856979,95.6820677297859
2010-11-01,28.621139411238,29.8678259114177,33.5573556345415,32.9129394960519,29.386283916439,29.7470975447063,92.0463209571972
2010-12-01,29.9876316190936,31.2404748403051,34.068632327642,33.5782046606444,29.9242347309173,31.7942993954789,95.2967387870407
2011-01-01,29.2402353386293,30.3586517714937,33.0453785336882,30.0178884015371,29.7960712615413,32.8303059807329,92.6442656438113
2011-02-01,27.3329681408664,30.4892321469239,30.8124918874607,27.5009189826655,30.7949980079647,30.3387751846208,88.6346921752509
2011-03-01,27.2342406626332,30.7509817368769,30.1632071212461,27.3927761296492,29.943453076925,30.812200314182,88.1484295207563
2011-04-01,28.1442152636048,30.5317165926852,30.4948966133293,26.4426530641787,30.5575163722421,32.1706590331984,89.1708284696193
2011-05-01,28.6369935191288,31.2489019191266,30.9976275183503,29.4184075343301,28.8143904795811,32.6507249426944,90.8835229566056
2011-06-01,27.4773013634795,30.1768199370543,28.9502741136662,28.1762741847631,25.5369827946719,32.8911384347651,86.6043954142
2011-07-01,28.2049024602494,29.786034241238,31.7041448761411,29.6916314922242,27.2682075310873,32.735242554317,89.6950815776285
2011-08-01,26.2994013311873,29.5968200348957,32.4786310984318,29.5663720970403,25.4804869629924,33.3279934044822,88.3748524645149
2011-09-01,26.334228986109,29.1736943998886,31.5465948256728,30.0085357141373,24.2678403405129,32.7781421570202,87.0545182116704
2011-10-01,26.6422115866808,27.4821767890779,29.4306810979514,29.2924065436021,23.1879590359279,31.07470389418,83.5550694737101
2011-11-01,25.2887685542624,26.4738772368913,28.4653629908744,27.5544384867749,24.3707008230087,28.3028694722446,80.2280087820282
2011-12-01,26.4392465489867,27.191782213197,27.8365761715692,28.1201987215731,23.7121472421745,29.6352589700054,81.467604933753
2012-01-01,27.8296841620222,29.0006764536205,30.6078328995035,31.0560317671143,26.8705361597283,29.5116255883036,87.4381935151462
2012-02-01,29.485207589315,29.3599456063317,31.2617415485287,30.9153417325664,28.6680507695263,30.5235022420826,90.1068947441753
2012-03-01,29.4478887927298,29.8790046622613,31.1609854559436,31.2066476060999,28.2502805844177,31.0309507204171,90.4878789109348
2012-04-01,28.9777074246055,28.67763722714,30.3857894626058,30.6887489715869,27.8868281490008,29.4655569937636,88.0411341143514
2012-05-01,26.6061750996321,28.268702163018,31.378171197222,30.6348479429455,27.7026789198277,27.915521597099,86.2530484598722
2012-06-01,26.0447113922417,27.5528491771263,29.5187507120833,28.6713530802267,26.8424550764116,27.6025031248131,83.1163112814513
2012-07-01,25.6377455481306,26.4318702157814,29.401952538326,27.5966616369322,27.3628782954093,26.5120283698964,81.471568302238
