"month","month_Americas_out","month_Europe_out","month_Asia_out","month_Americas_in","month_Europe_in","month_Asia_in","total_out"
2010-10-01,17.5406902597045,23.4085809266057,20.5691373571996,15.1879739040292,21.6829660509286,24.6474685885519,61.5184085435098
2010-11-01,20.856632925241,25.4388941796306,22.5736968217963,19.5631273035657,22.3031977304666,27.0028988926356,68.8692239266678
2010-12-01,15.609523886893,18.5505613593016,17.2002511525129,14.3745378523529,16.3492860827683,20.6365124635863,51.3603363987075
2011-01-01,16.398117061201,20.6921145915317,18.3245548191311,15.700959575404,18.553662030509,21.1601648659507,55.4147864718637
2011-02-01,17.9867870628752,21.0033240260053,21.1621117792473,18.2376161219441,17.0978571463053,24.8167495998785,60.1522228681279
2011-03-01,19.6188043393465,22.6487248112892,21.8022574023701,18.6890430643783,20.8369596241255,24.5437838645021,64.0697865530059
2011-04-01,19.0726240800363,21.2369477352524,21.1334290236454,19.5405850781617,18.4347982225337,23.4676175382387,61.4430008389341
2011-05-01,22.9725931916137,26.7636783217976,23.3469934957843,18.5902138798205,31.7277441659699,22.7653069634053,73.0832650091957
2011-06-01,22.3460164418461,22.7342221119671,20.8881739201899,22.3534250771951,19.1858536119981,24.4291337848099,65.9684124740031
2011-07-01,106.878698598513,119.430545676984,112.527393007985,124.458319678595,190.40916487994,23.9691527249472,338.836637283482
2011-08-01,458.023580440383,547.56995424499,486.801307113462,1107.76529766629,283.588485370152,101.041058762395,1492.39484179884
2011-09-01,26.8544128868702,29.833347973521,25.0178001431104,21.433831592705,40.2635715570144,20.0081578537821,81.7055610035015
2011-10-01,25.7917013564353,24.6280285041351,25.4911119643033,18.365043894674,23.501064257874,34.0447336723257,75.9108418248738
2011-11-01,23.0089360171551,21.5050015380651,24.2639011184499,14.0282875655649,23.6090927885158,31.1404583195893,68.77783867367
2011-12-01,21.7013257003708,20.4570860084859,21.7964883812319,19.1766720803151,20.5330395861429,24.2451884236305,63.9549000900885
2012-01-01,25.2444288643956,29.4468772310762,22.7132222441136,13.7361199530161,42.9296679364231,20.7387404501463,77.4045283395854
2012-02-01,19.7509135137753,18.926532849563,20.4927861261086,16.4705421527475,21.2851895173372,21.4145008193621,59.1702324894468
2012-03-01,19.7509104091116,19.6448156149119,21.4649849604459,13.5441050982427,22.1034091349213,25.2131967513054,60.8607109844694
2012-04-01,22.1624118262665,21.70447329533,22.8920592547409,19.4340363710223,24.993969946539,22.330938058776,66.7589443763374
2012-05-01,22.7188448650786,22.8534713580819,26.1520707419106,16.0306089026436,25.0959637799362,30.5978142824913,71.7243869650712
2012-06-01,19.8798406418053,21.177461969799,22.0662366345472,19.0078533781604,16.4172936454241,27.6983922225671,63.1235392461517
2012-07-01,19.6266791073594,21.356679409857,21.1358083395563,17.3314602897291,15.8992566568218,28.8884499102218,62.1191668567727
2012-08-01,22.0394966981487,24.2404267762359,23.0908743782507,18.3940241238321,24.3802931603666,26.5964805684365,69.3707978526353
2012-09-01,19.4538706421721,20.7883551032002,20.669292550153,16.5088386792296,18.7112488527574,25.6914307635384,60.9115182955254
2012-10-01,22.7640773383713,26.6510347083158,25.4627776861488,19.3748088943605,24.1479006853626,31.3551801531127,74.8778897328358
2012-11-01,17.2464208721522,21.0626117662377,20.285759900227,12.7884111096858,22.0839395216987,23.7224419072323,58.5947925386169
2012-12-01,15.841671002394,19.8702216585472,18.8412737226213,13.9490561370378,18.8703140999841,21.7337961465406,54.5531663835625
2013-01-01,17.9523850343461,20.734708116021,19.835080022917,15.1072979619666,22.074879056018,21.3399961552995,58.5221731732841
2013-02-01,18.1769183441881,21.2589067659862,19.6459144970389,15.8805584361739,18.0294175490415,25.1717636219978,59.0817396072132
2013-03-01,16.3116217738851,19.8944387136737,18.3014798330132,12.8343116712416,19.1205196156223,22.5527090337082,54.507540320572
2013-04-01,14.1182345689142,17.1654189633601,15.5279541378693,11.3807296831267,17.161015392079,18.2698625949379,46.8116076701437
2013-05-01,22.8122021626978,27.5682538272512,25.5395268109788,16.7841603684754,27.5849807960638,31.5508416363886,75.9199828009278
2013-06-01,22.149668289702,27.0612120785548,24.0718045534193,17.3669772303482,28.230678231315,27.685029460013,73.2826849216762
2013-07-01,18.3781547968124,22.1767615180829,18.2416033088587,13.9875016017859,21.7408079402912,23.0682100816769,58.796519623754
2013-08-01,16.286151415187,19.7206277250918,17.2737347631484,14.7612718063953,19.4610314837199,19.0582106133119,53.2805139034271
2013-09-01,19.7506640724265,21.6443118269568,19.3598186939672,11.9044950949197,25.3979498181323,23.4523496802985,60.7547945933505
2013-10-01,17.1330994840125,19.7112007846391,17.1279731496603,15.7040561034714,19.282953359235,18.9852639556055,53.9722734183119
2013-11-01,16.6005937912513,17.7868874868417,15.933761190709,10.6533431885015,21.6153029230812,18.0525963572193,50.321242468802
2013-12-01,15.1464686209057,16.9601753690407,14.8250027139644,12.8584634632987,19.6875946960462,14.3855885445659,46.9316467039108
2014-01-01,19.4581275748083,23.4621208593851,18.8559385223111,14.4132052847884,25.1116475090506,22.2513341626655,61.7761869565045
2014-02-01,17.0980016802379,20.1118517709261,18.2584568215854,16.2881482174859,20.2406981288468,18.9394639264168,55.4683102727494
2014-03-01,15.7861571432744,18.6795343617195,16.9163492637315,11.491478582589,20.2283858681573,19.6621763179792,51.3820407687255
2014-04-01,17.9163227608849,20.377937493238,18.0022109828613,13.4829404671604,22.4105614075945,20.4029693622294,56.2964712369842
2014-05-01,16.7995056515962,18.3441665301179,17.7374168633837,11.3577932167023,17.6892883269909,23.8340075014046,52.8810890450978
2014-06-01,16.2216085594223,18.8020899299443,17.3486330951677,14.0557720531608,17.4177358379471,20.8988236934263,52.3723315845342
2014-07-01,15.9301401750103,18.3697712567025,17.5979885947411,13.8233777784565,17.025579653559,21.0489425944384,51.8979000264539
2014-08-01,15.6852220205947,18.7937162773688,18.0481211995139,13.4865705497204,18.4769944354879,20.5634945122692,52.5270594974774
2014-09-01,16.224624304738,18.6445834078726,18.4879161233929,15.5954765624237,19.1523960089776,18.6092512646022,53.3571238360035
2014-10-01,15.4863237636145,17.9737089931137,17.8023821429083,13.4326239799938,16.8273023365592,21.0024885830835,51.2624148996365
2014-11-01,13.8835801353128,16.0928120870997,16.3430533834925,10.5013353497833,14.6169427723299,21.2011674837917,46.3194456059049
2014-12-01,18.1182217489973,20.4416235504857,22.3145426461276,16.7784530072877,23.3094500147325,20.7864849235904,60.8743879456106
2015-01-01,16.5541033571098,19.772196762495,18.6853746462594,16.7560617875301,15.530220975361,22.7253920029731,55.0116747658642
2015-02-01,16.0956584912725,19.2038411175855,18.3642404718553,14.2873892586331,18.3147000242253,21.0616507978549,53.6637400807133
2015-03-01,17.1051806506323,20.179060218279,19.1773927090752,17.6742507664735,18.3794941991911,20.407888612322,56.4616335779866
2015-04-01,22.6567413819631,26.8853829210077,23.2173244186572,22.7179283332199,29.8529969620747,20.1885234263334,72.759448721628
2015-05-01,17.949687252822,20.2321834817756,19.3674399772859,19.0707484555215,18.50921911513,19.969343141232,57.5493107118835
2015-06-01,17.4221037272413,22.7655998250312,22.5987110564453,18.0164550232533,19.3958912108243,25.3740683746403,62.7864146087179
2015-07-01,17.5890750072895,20.1309057023335,21.9592378308039,15.668376559964,20.0205664830072,23.9902754974558,59.679218540427
2015-08-01,20.4604592511925,25.9786159117921,25.3637599523037,20.4395485590761,24.5762070920414,26.7870794641709,71.8028351152884
2015-09-01,19.2179269924331,26.1985074754429,26.7741734275667,24.1696332717441,24.3865077940819,23.6344668296168,72.1906078954428
2015-10-01,16.9260987797614,22.2922139849126,23.5842606176898,26.1477811225093,17.1626992986971,19.4920929611573,62.8025733823637
2015-11-01,18.9718529783109,23.460874414769,21.787511634037,18.4083088682198,22.1407306585837,23.6711995003134,64.220239027117
2015-12-01,16.655256370679,20.4249738067088,20.0216551756451,16.3637217294355,19.5377063590822,21.2004572645153,57.101885353033
2016-01-01,22.5537247023064,27.3592793142033,24.2687841801945,26.3365637043043,23.6864787755579,24.158745716842,74.1817881967042
2016-02-01,16.8082906254981,20.778098965008,20.8854188034217,14.4904957183697,15.1431804526178,28.8381322229404,58.4718083939279
2016-03-01,16.749423837565,19.4833357444334,19.20218498407,16.5173613161991,15.6335114597466,23.2840717901226,55.4349445660684
2016-04-01,17.2088725671367,18.9323162680333,18.0270065282489,12.2743340629888,19.9227300616723,21.9711312387578,54.1681953634189
2016-05-01,22.2417868336499,22.5615358790671,21.9721464907804,19.6897337381632,22.3694763163651,24.7162591489692,66.7754692034975
2016-06-01,32.1975164959,35.7321459806326,31.3288489669253,28.6252622546145,31.8316916812655,38.801557507578,99.2585114434579
2016-07-01,21.1939802199702,22.2665616592346,21.7655594334048,21.8809231687309,21.5906616827358,21.7545164611428,65.2261013126095
2016-08-01,20.840640567313,22.8009586078102,21.0307432790238,23.479385870557,19.1943597118848,21.9985968717051,64.6723424541468
2016-09-01,21.0630195273736,22.1401193893832,21.7136880799807,19.0097611278806,21.3524663218042,24.5545995470527,64.9168269967375
2016-10-01,20.3509436458408,21.2077737636232,18.8789795169137,17.8532149439047,22.7897255105242,19.7947564719488,60.4376969263777
