"total.c","average_lambda"
63.9389687024045,1.3725499501192e-05
54.0767143946059,1.34457187703928e-05
66.539542533519,1.3470158018294e-05
78.2605319345801,1.25661309213312e-05
80.2453527933695,1.33559173047053e-05
57.7109212117544,1.32952307134552e-05
59.2600897669675,1.23827976005794e-05
56.0072404640034,1.2692740310319e-05
50.8408412953604,1.28865363933409e-05
52.5422864444607,1.36401739954283e-05
46.0509773910053,1.31419168228184e-05
58.8969090238073,1.27621956606617e-05
48.8419994637754,1.29765577824425e-05
55.4005396944692,1.21923333543306e-05
61.9695980458817,1.25979372075886e-05
51.9648861313849,1.32095233300072e-05
59.5957505959493,1.2825323487546e-05
67.331093655607,1.22500409623513e-05
55.2504401137288,1.30603284669406e-05
58.4316071072263,1.25218635658283e-05
72.145737993367,1.19086208620724e-05
67.7416321933705,1.28730052190126e-05
41.2559538469913,1.22069274652518e-05
75.1358221782946,1.22866603850053e-05
61.2510776956645,1.30359463638239e-05
62.4524516265698,1.27657567642982e-05
65.7761422200601,1.273626893789e-05
56.292331813442,1.31189776080219e-05
144.314753811186,1.27318535958534e-05
56.0407320913712,1.32741976490798e-05
64.8654715113655,1.28768305880699e-05
52.4244794151825,1.37266342844374e-05
47.7708882168736,1.29568321669626e-05
57.9653888519973,1.33113849208971e-05
77.483117114665,1.38559134060945e-05
73.7664063349734,1.24950244831155e-05
54.658737594377,1.26574986089905e-05
62.178828691554,1.29680278007086e-05
120.47713315704,1.29470498931204e-05
60.2559036892084,1.3326663559188e-05
67.019920450502,1.31983657962394e-05
1384.2514004291,1.34981436278359e-05
2888.12502308408,0.000773504454547474
427.985993406249,1.29957026008567e-05
2605.42793957413,1.31950721701427e-05
48.0404111308901,1.32243628577439e-05
144.684411330321,1.27827536558926e-05
51.3248602161517,1.32684026320656e-05
87.7558994316982,1.29280452546277e-05
43.0570730358357,1.32907737367344e-05
92.783420499478,1.27803515264943e-05
58.8285879375225,1.3282320530361e-05
63.2906174538208,1.32708036973881e-05
90.1616419510152,1.38092145676103e-05
74.4899412825323,1.35023797750172e-05
66.5212462135602,1.35007393499826e-05
111.955830805444,1.32647094395385e-05
48.6412500757279,1.31890902037672e-05
47.993027599948,1.32942712821526e-05
65.4283161834835,1.26882792640794e-05
76.2347586045844,1.28141531987389e-05
62.0292613236379,1.27360188110757e-05
52.127264248648,1.25773494600803e-05
47.9873655277223,1.28132953999721e-05
49.719418793491,1.35687217578608e-05
183.010978686806,1.30005180959413e-05
47.6351871265061,1.2772989435339e-05
58.6696915634019,1.32434456335488e-05
77.91877532004,1.2531745437564e-05
61.9998921189098,1.26478151266289e-05
41.0018919966934,1.25555660676232e-05
55.7603705221444,1.27562252437944e-05
58.4583788354644,1.17389768525614e-05
57.7512730071776,1.29896912797844e-05
60.9242506259288,1.16216772724241e-05
66.3089414693071,1.24753704232882e-05
73.6753221507287,1.21070781081297e-05
63.3354017563935,1.21402799316182e-05
74.5508377169184,1.23664446797859e-05
64.6805441455483,1.26836976248988e-05
57.552616112098,1.21534595857754e-05
68.0161366116251,1.16420230691768e-05
72.3851716998199,1.19950638889285e-05
68.6212729739769,1.16359313137575e-05
77.8749665748628,1.18917999286881e-05
54.0828081766138,1.14971397412364e-05
62.2527521934264,1.18413523468163e-05
72.6061814469405,1.16266857445496e-05
63.5524151676257,1.19830786778697e-05
57.305241518342,1.19414634775316e-05
74.7720023998287,1.19739269764292e-05
58.7691829942668,1.23199440355259e-05
58.0871529972073,1.27485125383872e-05
61.6622543742183,1.19456151643649e-05
64.6602010619216,1.25819181010389e-05
73.2942645165787,1.23025612835262e-05
56.8394713511163,1.16636263685358e-05
82.6892544809247,1.15641887430486e-05
59.201574508339,1.23459910458419e-05
50.5148191645572,1.23615325247227e-05
62.8560863680953,1.26775849661118e-05
70.7929973791819,1.24011809066603e-05
61.1921140574535,1.31111920273952e-05
80.5617318820891,1.30299658063806e-05
65.2510387039792,1.22337212331232e-05
70.9369583349912,1.25537606605634e-05
82.761830010284,1.22615135423751e-05
71.6604699818824,1.24980461852642e-05
61.4600479952236,1.23361706126708e-05
42.5612202376036,1.14273188623267e-05
58.6974319397578,1.27451604764723e-05
75.4561681145811,1.24841195059776e-05
55.1551378409695,1.35464591000193e-05
39.3014563287049,1.31673754935574e-05
55.7603887757042,1.25976490258603e-05
47.092680857853,1.30202632447256e-05
64.0294914582408,1.31058263630193e-05
49.9898628960997,1.25234279199252e-05
56.534195233822,1.42633097150776e-05
63.535143104974,1.35322859037055e-05
51.1472806149633,1.3727254012051e-05
48.5617372266915,1.44586084595979e-05
76.5600112495817,1.38330039535813e-05
60.0579293376163,1.29112250201369e-05
51.0058743397225,1.3263397908772e-05
44.6069982977448,1.25757823322017e-05
55.5053117148289,1.27722462256194e-05
69.7402827656581,1.35361915285424e-05
51.6792344849057,1.30933415899742e-05
61.6550956304324,1.29980809707604e-05
42.4340575787984,1.38850530780465e-05
43.4601617188282,1.30629007479415e-05
39.6971157525157,1.26416875082179e-05
45.1668243941462,1.32338088506924e-05
47.3892634830547,1.34833058693117e-05
113.488057020095,1.37620774939689e-05
97.6357863064152,1.35892168994448e-05
57.2508183712798,1.36417196823947e-05
109.280337216045,1.43648671482168e-05
69.7553791866834,1.32509057543372e-05
67.3573056324325,1.36985669695299e-05
62.7695842019401,1.33052291342209e-05
51.5584579306399,1.34027375619654e-05
63.8881972424996,1.35136190890871e-05
69.1896587137263,1.3228056614436e-05
50.5497646081505,1.31343290471012e-05
47.9447861908823,1.29256497949646e-05
49.5963548960791,1.34747216135505e-05
51.5768158152149,1.32355893171576e-05
64.0040987115323,1.35671479790299e-05
62.7460393522203,1.27838371090287e-05
55.2285104910457,1.32017221270837e-05
67.2122795016935,1.430926982666e-05
57.5188866522971,1.36901066965772e-05
61.068256969496,1.41515978849387e-05
49.0500596824051,1.38163627493062e-05
69.8849180083742,1.43175796631853e-05
53.2702930165973,1.39136630626072e-05
