"total.c","average_lambda"
481.256006042497,1.34932776983058e-05
42.4611714900957,1.36297493095404e-05
73.4579426990942,1.3570019716943e-05
57.3723267400024,1.42483263451737e-05
117.867622230145,1.24970023319857e-05
61.7705528936352,1.37749030601415e-05
58.0781259041747,1.38531049311455e-05
62.8188678338301,1.30523452397728e-05
118.198747127081,1.33682212351791e-05
59.8113351027738,1.25134097929748e-05
60.1133172256137,1.30293794542351e-05
53.6528246101827,1.35476383560341e-05
76.1275925212328,1.3885863129173e-05
48.3874447783374,1.28467716375279e-05
61.8891309975124,1.22054818150625e-05
100.719749097777,1.29458209468037e-05
104.661096562197,1.26782971564225e-05
71.5578451247066,1.32230199073474e-05
57.5121467535941,1.27077928327519e-05
73.0489550590535,1.3293427635844e-05
50.4635529461464,1.29416602322981e-05
53.7554940047932,1.27424234285762e-05
61.2402255383016,1.32311194155775e-05
63.8209367322546,1.2813666641226e-05
65.0860085231598,1.3124639293241e-05
48.3273998179599,1.21021184813791e-05
52.1899422975158,1.22603275049653e-05
129.928580308149,1.19847314007022e-05
72.722296371413,1.28119194728913e-05
46.1904462362849,1.25821112217781e-05
70.5934548282563,1.23328826693853e-05
58.071155569903,0.000124426571756327
63.2765005869421,1.17930016779462e-05
55.4660929653323,1.23892106859206e-05
124.251440057446,1.25921259362107e-05
57.5294616927917,1.23846471433636e-05
43.1734711083884,1.30628939436391e-05
46.283829700865,1.28398401647685e-05
49.9719098672883,1.2338982009033e-05
64.3595275827615,1.2203149681654e-05
60.3989286352376,1.33535029926557e-05
57.3213212929801,1.34010021779701e-05
180.0473423619,1.28359466284517e-05
132.72248005387,0.000218730836345044
49.6822785557212,1.33038273526731e-05
67.2173085684757,1.33203647005397e-05
54.1058952458122,1.35667931038439e-05
57.804736815819,1.41513272497805e-05
68.8118769152958,1.38399720872423e-05
60.138498118527,1.3305229813555e-05
67.8573203098597,1.41764492572696e-05
64.9718748139701,1.38460977355195e-05
57.6113045670813,1.42707214978392e-05
75.8203407576764,1.44728661483775e-05
64.6013734613302,1.45281795272902e-05
64.9097554999541,1.44133558397471e-05
57.4784364369942,1.55734417806514e-05
58.2591891155688,1.44750944756472e-05
56.3583489658684,1.54402855414191e-05
64.390839313385,1.44231118710731e-05
55.4214487205148,1.46922648597376e-05
57.0273355155106,1.39109676508178e-05
55.9206667442671,1.34599175145123e-05
55.5168301409754,1.37848233154944e-05
124.97246635062,1.44577455407405e-05
114.404115482275,1.41779648872719e-05
1422.46388563512,1.35854884935568e-05
124.426422691979,1.2982524918281e-05
264.641411507658,1.36508453478352e-05
51.2197054519239,1.31425968534999e-05
78.2119038556479,1.31815563265669e-05
47.5672392626227,1.29479936034286e-05
58.7473361848818,1.28769482512682e-05
54.9592221689736,1.2645461363292e-05
134.620329233356,1.24118196999003e-05
77.6627548532045,1.31006547551706e-05
75.9946213292717,1.2857668548471e-05
105.317788075867,1.28960966548148e-05
72.1153259763089,1.26800616558164e-05
57.6336382235698,1.3078734689567e-05
168.997983590759,1.26763839709051e-05
88.6699571013442,1.29033431453568e-05
54.5224954139768,1.33189268851063e-05
104.462915532186,1.32517396451997e-05
85.9091977101976,1.27339079050681e-05
64.2904630627222,1.17848512820274e-05
58.181977959618,1.20079671182668e-05
103.453788361872,6.66730036576397e-05
50.3543736033248,1.21361420595097e-05
101.671168110012,1.17261956593166e-05
81.6389026540048,1.1030490474065e-05
55.9618261840462,1.21832054452424e-05
95.3639811347775,1.26948617438537e-05
65.7123664960808,1.21779955465397e-05
48.021708981292,1.2917126716991e-05
94.9918114667036,1.20848562056275e-05
56.645602705188,1.20488232486961e-05
78.5123862630468,1.24963177443252e-05
55.413086139105,1.16627674853525e-05
72.4865272402812,1.20257568463337e-05
85.796070001042,1.24252285752361e-05
61.9517488598623,1.21560636616456e-05
373.902689089314,1.23287126756505e-05
58.6864217392354,1.24068383648516e-05
55.855080935415,1.28944584404448e-05
63.6185868412973,0.000321028839168478
61.1537188567901,1.18592450742153e-05
63.3120739412068,1.24030389027638e-05
58.3228970306225,1.16127692561043e-05
106.345002408851,1.15903571662186e-05
40.5230641493887,1.17137372284467e-05
68.2327749026621,1.16199856261611e-05
59.3793539442282,1.20385332373795e-05
57.1752615309704,1.29772634931716e-05
53.7928065953618,1.16407790997374e-05
61.0464227862939,1.24678322470618e-05
77.028078815549,1.2248399897581e-05
49.8782156200567,1.25396070245808e-05
68.2652839862366,1.17990653660478e-05
81.4396738723518,1.20565035040774e-05
51.0202761962912,1.3025636992929e-05
46.791529539515,1.30277313466295e-05
61.1494472575002,1.41214951158067e-05
50.3162596333253,1.37774156529723e-05
50.3100950984689,1.41616925276632e-05
51.0207536061213,1.3655039095835e-05
42.8282225195549,1.44783704044585e-05
49.1082871127812,1.39028529646519e-05
50.6884821357022,1.46105519963907e-05
56.591110858283,1.39888481951015e-05
52.7561908462352,1.40270752905222e-05
52.9708120468115,1.46922837119873e-05
59.3312780406744,1.45196451966729e-05
52.1451621249862,1.43342869634884e-05
48.2595540265411,1.42584602254279e-05
68.1179417837846,1.43736664332152e-05
95.0678505226095,1.41576404606319e-05
55.8492445012224,1.41945840298542e-05
56.0127622171699,1.49903627718154e-05
43.3717736327077,1.33760691310333e-05
56.901597681074,1.42204106826258e-05
45.6690600872073,1.41030294034883e-05
48.2859062332977,1.38720055519771e-05
38.2267473970623,1.44733054410579e-05
71.6727979173738,1.39663346927475e-05
46.8425623520966,1.37425892560037e-05
104.159490738187,1.37253977117018e-05
89.1903372209378,1.40083495752714e-05
101.123748624829,1.31456593282168e-05
50.0103250443388,1.34351392855721e-05
71.2848645331379,1.35094819375062e-05
57.4345136743403,1.37017600184649e-05
