"Merval","IBOVESPA","AXJO","DJI","GSPTSE","RUT","SPX","IXIC","MXX","SPCLXIGPA","WIG20","GDAXI","IRTS","FCHI","AEX","SSMI","XU100","IBEX","FTSE","STOXX50E","KS11","N225","TA35","SSEC","SZI","TWII","HK50","STI","NSEI","VNI30"
0,187.69004469697,104.127584054619,99.3989674887676,94.5240644045829,112.493708509275,80.5891692099285,110.835579121183,137.665856823351,149.511017388479,127.629551906766,88.41011293081,139.273513878681,76.7621130931274,83.1599999357022,82.8060684462426,112.725095098604,88.9321602988578,92.1147364058333,60.4767423353666,94.4480537307392,105.568095356543,120.844851460473,94.5888435396863,118.327404404179,102.362279985633,120.226202992952,95.2744950085298,119.92205211353,110.952441918192
125.121940278543,0,97.0100016708081,74.6095121650679,80.5677588166698,117.53710007131,79.0716049291232,83.7707643430698,149.461916723076,114.75941706955,89.4701213805546,62.8411773004968,145.691735525634,107.712029211339,71.1191727733399,83.519378416256,134.803991504212,127.584718240286,93.1688058908333,92.232492627838,72.2384018317596,98.5064359278831,62.583210795487,56.388834421076,102.797266417684,130.037536021734,95.6094656212922,97.3982199825034,171.747788160547,74.916202758946
68.6037185508972,108.618698183258,0,79.5774523669668,88.5836094484614,66.3082828640135,91.1105778974401,104.733944442117,81.5529121316942,79.0848258327939,86.8112353493108,104.298577820997,111.581136636184,62.1046345714552,59.4723981483326,74.7108784745599,50.2827856298846,79.3494018176088,94.5721297117028,77.2588542617968,103.527703648104,85.5508693007849,59.9766907688125,69.7431727915311,79.9580969362548,71.832826211763,80.1786894500922,70.8649625442021,68.8786772023043,96.8375007504321
42.6091033863392,43.1268391295618,27.5638724849908,0,46.3064407146627,87.9313293073381,85.823494444014,79.73860128877,41.424922169543,35.2036561823451,42.2042496305981,51.4346039026254,45.8271451440906,53.7964384576894,49.0360619594234,42.7899312764369,28.7534204465671,53.1215927131048,41.6121222046442,53.8583538839125,29.3804530058228,54.0859147819458,29.2172223186293,18.4702013679026,31.6230028586284,23.1604414510917,31.5166395833207,22.4793460842963,31.0916534721761,30.9160889301619
53.80874404855,62.9911617652308,58.2754014655619,62.7961959920368,0,101.841355948716,70.6051418509717,83.4600347412907,46.739489053093,41.8720117132517,40.4903696771494,54.8948960692155,62.9361365259584,59.6108780213352,64.0160831688489,47.4765323270083,31.6845254391596,66.3650879362181,56.6006920965324,58.9057710267454,44.851843663098,43.1891561132069,35.5682063564099,19.2748628723865,27.3068617906972,41.0463541497454,41.013479029654,27.5355781349106,37.6354069967215,35.599230435435
93.9392068900438,245.230917332022,113.364731949069,346.197767193197,210.89030681787,0,356.462725332034,355.484709981561,196.139568311028,96.9197665571134,66.0487552988827,197.258446234144,240.738517762597,260.981410701738,222.343767670118,60.131247924349,153.874938865298,289.436102715372,214.021569319631,222.837190640623,140.078841893708,147.6332546454,280.248946656027,48.630551285239,126.373607420335,78.6300097425946,87.4639908701648,86.9104807605333,76.0136617529214,66.9277805049909
46.9846918042897,46.1202919254268,42.7452945687322,125.971422900222,52.534624503464,128.501258504664,0,155.431215508396,46.5724957849285,25.3091182712724,29.5265066119423,63.045868510697,45.2443315914831,63.5820755930952,62.1656174537126,47.8279655148656,26.2013981008648,53.0293202906298,47.2817012530864,64.3453377400129,45.9188048110487,50.2273267672387,22.580203276261,20.0653422948486,40.661018417609,28.8737197977487,38.3334914982822,28.8669841144201,24.7257956588955,16.9637653589454
54.9346748599484,51.9994211499351,61.1502885063617,122.202445867443,68.5024900390255,175.437607500918,161.961297286658,0,47.5936839527181,28.2448792745174,35.6643140890561,73.2277203734277,49.2045779778025,68.1018652084632,82.6301416807724,63.9939662582694,44.9703974899127,54.6648574006316,59.5790926078675,66.7481159908205,59.555942945801,62.4796733100647,35.2693229175424,54.8866551788469,79.7260105426204,48.1796904013561,66.1136977677117,40.6603975894856,39.7783809252896,42.0032627799383
92.5470264718423,120.150585097775,62.7768364738143,79.0258102747181,63.619758242559,116.216541842981,72.6471644019732,70.036766370211,0,94.244975217918,119.353870497289,77.8368553163929,99.3574353604315,85.7530466624632,84.7762988010907,56.7369777390298,65.4761993652832,85.2036072266763,73.7419018692603,82.3681800455697,64.720323277527,54.5821658737195,68.0167938377943,43.2484171476208,59.017678964027,34.1183374092082,55.8514858813336,41.7833384149141,90.743296928574,45.8944942529326
70.3513579781705,80.3141392145421,36.5602392941165,51.0112362150287,49.5078823746582,62.4095509918278,34.4478076844791,40.3710115768971,85.1507380822494,0,52.1288885071427,45.0809174782437,66.3564959970438,42.6924593097637,57.9159131757773,52.7457679797812,85.0330652500696,70.1537120567272,61.4158757462802,57.5471394622606,69.9059715011246,58.0335878063374,50.7488870861898,43.7131347304625,38.4388880826738,56.6115859767297,65.0335265126649,56.2503774438933,62.7646021043187,48.8874475720108
