"year","year_Am_out_Am","year_Eu_out_Am","year_As_out_Am","year_Am_out_Eu","year_Eu_out_Eu","year_As_out_Eu","year_Am_out_As","year_Eu_out_As","year_As_out_As"
2010-01-01,6.25883285169388,6.76217099514106,4.52866414097149,6.88426416610168,11.1183961266588,6.14336564608245,11.1427420810362,12.8831851073265,15.8825596729136
2011-01-01,15.6422441303623,14.3751139811958,14.3180982573317,8.27084970864622,10.9946493840733,7.4983550993697,10.4405654126351,8.93244646311071,13.2912754004439
2012-01-01,8.05703375494412,7.86642426631055,5.75537970762455,6.90383882916871,9.49370556994681,5.90691272490316,7.36526281628136,7.19110696969247,10.5101426997463
2013-01-01,5.1396241533811,6.30688555433775,4.49554522461361,5.86577751551006,7.89556039768481,4.60014575198142,6.36101868859115,6.4922039490177,8.74200618173623
2014-01-01,4.48376588613146,5.59953670544135,3.96894883798028,6.32498426005986,8.47316925040146,5.41957155962491,5.21358675669559,5.92190466496575,9.0239851060233
2015-01-01,6.69290716672379,7.00211083798457,5.19043708633901,7.26185085551197,8.7703198614352,6.36171647499039,5.54595115400116,6.96699512826212,9.68454317498258
2016-01-01,11.6258122931232,10.9225496063673,8.26703027507813,7.85927291295947,10.321381419354,6.07075167614557,11.9083084924828,16.0579717673866,17.8891005723686
2017-01-01,6.92341493102995,5.58629656633402,4.64423826659088,4.66467265475654,6.77569021959328,4.54323551729691,3.68795967782301,4.95018823712635,5.94876523930749
2018-01-01,6.73605612777398,6.72905006044011,5.90089679502545,5.00879937301757,5.6185031858549,4.34761397613397,6.04742192207734,6.22948804199247,7.95073344307187
2019-01-01,7.55378837210096,6.29202610920886,5.51286408294368,4.99809286330403,5.63758798539393,4.56349701015469,4.49995642946184,4.37120839254312,8.25361688642944
2020-01-01,63.606496452475,61.8518754322403,49.0943336852974,51.7483496836643,112.199685927009,57.7677538364631,55.3747871442706,52.6856951822743,67.815058260473
2021-01-01,7.80596086094683,7.6025004341435,6.62078950779165,6.41027141679752,7.08618764196261,5.13443734649335,7.34044134917508,6.97334129691912,9.98532591266082
2022-01-01,12.0007885956836,9.74270747096627,6.99658240258846,13.7522092143252,17.5890285815726,9.67937308677814,14.468257665641,10.9112293318408,19.9703922057208
2023-01-01,8.0475605692029,6.40502434391031,4.87051150047963,8.7645742592064,8.12214172980928,5.01625653023186,4.97110492370392,4.33376742999577,7.733595885075
