"Americas_in","Europe_in","Asia_in","Americas_out","Europe_out","Asia_out"
10.3923849261954,33.3098556149592,437.553765501343,133.137058152517,181.930571966442,166.188375923538
13.3380074789176,19.0065901334369,10.1165738777411,12.2436152633487,17.5850237198163,12.6325325069307
27.4009697108658,25.7525140594663,20.3044589287622,23.055968082943,28.5992755947062,21.802699021445
14.289311797344,21.4465100086422,21.6365049340162,17.2125101832098,20.8862440623072,19.2735724944855
42.9373985787806,29.1790913799931,45.7511322713717,37.2781322987998,46.2887679449557,34.3007219863899
12.115404827108,20.6766651799687,28.9784828865586,17.7645143528564,23.7828164000891,20.2232221406898
13.7426843711371,20.1728562275325,24.1625853055051,16.052602768559,22.3867137038568,19.638809431759
12.388303939208,20.1673510840275,30.2632128105946,18.9792925373533,22.7008086090989,21.1387666873779
25.0373832286024,31.4301696250403,61.7311942734385,35.2746743525223,43.6244430525967,39.2996297219621
11.6672743287228,20.9024399383399,27.2416208357111,17.5103926830061,22.6257902228361,19.6751521969316
20.7512954013287,12.2079749818581,27.1540468424269,18.3588421624674,22.1175154595582,19.6369596035881
15.0808429065154,15.9484329021721,22.6235488014952,16.4280018125524,20.6854834299258,16.5393393677045
24.8336356291583,20.6238546747048,30.6701022173697,23.0591844528729,29.2346593731331,23.8337486952267
14.1700883387428,11.9797242999607,22.2376321396339,15.3958918982449,18.2577549659211,14.7337979141714
10.4130809818321,24.9996264536078,26.4764235620724,18.5448660570796,23.8963747146242,19.4478902258086
19.8670157086689,43.7268852069565,37.1258481821515,27.4085474813154,39.7658557804175,33.5453458360441
20.5871184375445,42.4028293343804,41.6711487902724,28.247688291218,40.3034661039836,36.1099421669958
10.645520289474,25.1393829912934,35.7729418439392,20.5527601408513,26.6312316800775,24.3738533037777
14.6731089845998,18.4653367529355,24.3737010160588,17.3723779102291,21.2068138996503,18.9329549437148
13.5928183559131,27.3137365227468,32.1424001803936,21.1354660905978,27.305051795442,24.6084371730136
13.8382186128058,12.1546565012898,24.4706778320508,15.4311478700986,17.6118401399476,17.4205649361002
10.1678276149301,18.1918557789687,25.3958106108944,16.0021654539924,19.8630185453027,17.8903100054981
21.1672345583687,17.6309274908673,22.4420634890656,19.3603548703352,22.2666523598298,19.6132183081365
16.1991275222559,23.8956091414832,23.7262000685155,20.14223867531,24.2254196688451,19.4532783880994
13.1473400757463,11.4568914119726,40.4817770354409,19.67160700183,21.3300825731743,24.0843189481554
13.5316358731523,14.9088262686161,19.8869376761916,14.8131201689231,17.7631270268447,15.7511526221921
13.9599649016355,20.3772001388585,17.8527772570218,16.0961031705368,20.1061198662923,15.9877192606868
34.3127405419213,52.8345798656586,42.7812599005688,40.2279963629045,50.2741343477913,39.426449597453
24.1533125267968,28.341564900658,20.2274189439582,22.0778267155002,27.4865843539837,23.1578853019291
14.9949519484937,14.7045022860869,16.4909920017042,14.5367531788442,16.6287373435229,15.0249557139177
16.9542499308244,30.747846087819,22.8913588096128,22.7763277025935,26.9591298096641,20.8579973159986
9.19364612732711,24.3149254644266,24.5625839781493,17.9758312284802,20.6963548084791,19.3989695329437
15.3074937675654,24.057240473187,23.9117663461897,20.0353477573076,23.4883514334082,19.7528013962263
17.7914113919745,16.7791708342958,20.8955107390619,18.1288900891958,20.2998732294422,17.0373296466943
31.5955759587676,49.8632838432914,42.7925802553875,37.716271240715,47.9172400334547,38.6179287832768
13.3376947831227,23.0462621632216,21.1455047464474,17.9485420942274,21.2333759389276,18.3475436596367
10.2155889953565,11.7844879330232,21.1733941800087,13.1780434841728,15.4735951538697,14.5218324703459
12.6621369756425,14.8512642754817,18.7704284497408,14.1654132567297,18.242556730324,13.8758597138113
14.7313392496893,15.829531360461,19.411039257138,15.4773378073155,18.9697141325896,15.5248579273833
19.5182703742416,28.3078774160312,16.5333797924887,20.6448077980123,22.2554518541874,21.4592679305618
15.5139173674149,32.0116468224447,12.873364445378,18.8599621029184,21.9141657886062,19.6248007437129
21.5240212834529,17.0247525181409,18.7725474913862,18.1184117328138,19.7086188329224,19.4942907272439
66.8045489983885,83.3450884960543,29.897704867457,52.9131288779033,73.3385592853797,53.7956541986168
29.8946803133662,72.7435834288272,30.0842163116771,37.1548372697526,54.1533485813167,41.4142942028011
10.9578340237531,22.4263755911062,16.2980689408618,15.5139998905922,18.1635986516559,16.0046800134731
22.4960731558719,20.0832799160418,24.637955496562,21.169331375466,23.7378552667056,22.3101219263041
15.0723809074717,17.1654296254692,21.8680847128713,18.0831390637645,18.2919212647334,17.7308349173142
15.7064393141795,21.4217184577824,20.6765790438571,18.8019668282484,20.0044248764884,18.9983451110821
20.8866313703875,25.0511372531006,22.8741082918076,22.1502958643847,25.3796193030802,21.2819617478309
17.8636056850311,22.7008989149412,19.5739935185546,19.1622700234149,21.7492195150173,19.2270085800948
17.2842461961024,27.1673203057404,23.4057538080169,22.6716029967696,24.4263024729158,20.7594148401743
16.6092513347406,20.8238386369124,27.5387848423171,21.0947163610276,22.641248678929,21.2359097740134
20.10305467811,20.0836455038021,17.4246043851692,19.5222175623956,19.396254937729,18.6928320669567
23.4993416834906,21.7657289999445,30.5552700742413,25.873779774589,25.8085097128822,24.1380512702052
14.8850319739706,19.1245920441462,30.5917494432134,21.8368417791312,21.9664429977757,20.7980886844233
15.2195427177005,15.70422633949,33.9859864427635,21.8598115087697,21.0826910147113,21.9672529764731
11.9623778672296,16.3502977345281,29.1657608352366,19.9238855657326,19.0772672022535,18.4772836690081
13.5739046206634,16.3610930310005,28.3241914639049,20.3527180040899,19.955015246548,17.9514558649309
12.422116598145,13.2846597309943,30.6515726367292,18.9027813835328,17.8495444145805,19.6060231677551
11.0179306702175,21.6238464057388,31.7490622374287,21.662605553901,21.6883400393287,21.0398937201552
16.5636740307368,11.3223501502607,27.5354245395173,19.5705277617932,17.2028375565923,18.6480834021293
12.4275230416675,13.0237165642301,31.576095909613,18.6493660386799,17.5780301119619,20.7999393648688
11.9215135169555,17.0930844168852,26.9060688104265,18.3342348323978,18.6163655290258,18.9700663828436
10.2758808071674,19.1575708317779,26.0833785020302,18.1831719074072,18.2314999706324,19.1021582629357
64.5013297878695,24.669852710101,35.8012838526494,44.2419158493713,40.1941024853121,40.5364480159365
