"month","Merval","IBOVESPA","AXJO","DJI","GSPTSE","RUT","SPX","IXIC","MXX","SPCLXIGPA","WIG20","GDAXI","IRTS","FCHI","AEX","SSMI","XU100","IBEX","FTSE","STOXX50E","KS11","N225","TA35","SSEC","SZI","TWII","HK50","STI","NSEI","VNI30"
2010-05-01,14.4656236695744,12.8461538721246,37.821107290171,5.48709616398322,12.6239120062015,14.3734536921998,7.9121377319758,11.9225972088492,8.64159320861223,8.21171371057511,22.495410927884,8.97419643574527,32.7877650576799,12.4896138667771,16.6758817234417,11.7285054463583,22.9276592772004,16.5268264577841,8.36864425754126,13.2241251491188,24.3109526428733,3.86381264273972,7.34986409411052,8.06708716414475,5.54111412143687,13.1166544907089,34.6447327235013,25.1039229995999,13.4856978156181,31.4833089886801
2010-06-01,2.53340846062376,6.31540052788058,5.43901743399035,2.78285504201548,3.78790557212647,3.91159393490647,3.24574282284058,3.17389819626094,4.20822051474966,1.38633814084424,5.26545261153809,4.49085950234909,4.8630710518557,5.2804546896227,5.63473671877302,2.93788395826176,4.7354392022899,4.41852453214318,5.06530438667189,4.54501223034771,3.11701489484281,4.74100802416881,3.7596805464091,3.91907930663697,4.1485423327657,1.95659774194865,8.13243350175485,3.09435505798867,3.09058490577723,5.77729166762449
2010-07-01,3.1217374872775,6.20994066999769,6.0888907211399,1.70816332078791,5.83921212831621,3.41183425158087,1.86026912028987,2.69052512748252,4.15722965464302,0.642617786810904,7.37554114727125,2.84048060878637,6.5522369268064,5.24817382918672,4.14620239082969,0.843518517813965,3.66804635275229,6.26330306553537,7.07771413204194,4.63800921005709,2.23553078544636,5.62581597491238,4.95278625338212,2.70613463027625,3.35148389490656,1.8310301963157,8.80858816604412,3.31810751745903,2.91712752844394,3.37019249978268
2010-08-01,2.00720318728017,5.89040838480548,5.45039617486376,2.04500426662355,4.96829926709659,3.54629826433824,1.84946135822088,3.89485454329037,3.21510437993697,1.15614921908679,4.50555541998637,3.12595414890035,9.16013423566755,4.2697785041675,4.63458576050752,3.65328771109896,3.58670111591852,6.85963106514302,6.67969757043326,4.07032960948661,4.68051606721427,6.81020666648419,4.5050309282188,5.04532034669391,4.32135909013996,3.76200032768617,10.4437306862501,4.33839115682381,3.81527738599784,6.10626199573653
2010-09-01,2.75135394772799,5.75953973717204,6.90180484600208,2.14872169128861,4.89636820767509,4.56563090760665,2.91749650321822,4.9850358037974,4.25913626422666,1.49471899549932,5.54762473737028,2.787913251394,6.30687182577849,5.00529273083023,3.95976588195407,1.88970809640163,3.62932480853935,5.56889729080916,6.44801179482579,4.82946025435646,3.99094178251569,5.41340775462277,5.1637228062832,5.60640391504949,3.55177448590002,3.13958684548074,9.82724493076341,3.48520931004346,4.68262908905737,5.20362291553554
2010-10-01,3.7565083582102,5.7036778871287,6.41572979933927,3.10142542771665,6.09386056288146,6.72548084211459,4.44734141762768,5.36831728059758,5.84612774554865,1.39454543305611,5.14127381207021,3.98960642869466,6.08453247102581,6.83293005091364,3.84533420633601,2.57953634403275,3.33201232717991,6.81556755678944,6.69503883868969,6.98128154068851,4.083862222056,4.4723038381554,4.45588671224147,7.33611585377811,4.718131901816,2.31440351049508,8.18000019548199,2.79246376185171,3.34617613093658,3.70743975378989
2010-11-01,4.27090291977392,4.88241948766585,4.44864714344657,4.91130384670162,4.13851729182002,8.20325183575407,4.61794801450868,6.14118377067938,4.54274691064717,1.81993270512368,3.51755008769137,4.98933844271694,6.61963012128892,7.59339023684683,5.28782385887482,2.89125202879447,4.40846169294902,5.54194281250334,5.28262577729281,7.84697229591177,3.47160164297184,2.6264903219205,4.14677968493714,6.00238664120544,2.62094278327301,2.85763241602683,3.52368977554131,1.9033481478518,2.3250564474264,2.36654320007476
2010-12-01,3.13437781647719,4.67495298453713,5.37848517304454,3.31126100361821,2.85836403602065,5.14363307572722,3.443060695012,4.32918126218003,3.30388559581202,1.96517764502743,3.58047190404,2.79769470871564,5.89265431864485,4.29822988153841,2.43310983174249,2.08902210977983,3.5980257408472,3.6498535165851,3.54261065339413,5.22946346135675,2.70608981535605,1.45924931993346,2.78138503125026,8.11935244354524,3.64614522110875,3.62250135918681,6.37822464353899,2.6474552444781,3.88097615259744,4.63977356970607
2011-01-01,5.7787774066939,6.68430257181672,7.35909784750743,4.91308218747379,4.86750581982133,7.33270636160754,5.61413915616789,5.34952054133366,4.45196063610416,2.95363047530211,5.12474404687973,2.90691812221442,7.58177062995939,6.67979911545842,4.87982817125491,3.08812179398606,1.93004716674528,2.49080629344944,5.40559756690436,6.8512372229847,4.47558135894322,1.67737235637757,3.38353216405113,10.0356082680583,5.7594649287484,4.91366733568065,5.10236154192646,1.75230280709604,4.68293255117304,4.09994468963516
2011-02-01,3.1946264252018,4.52776043885923,7.20830851398336,6.40845952434617,6.46121740541511,10.0234616989115,7.47853053253989,4.07285154297254,4.8891054744867,1.14826753218974,9.60697464619994,6.41814152391461,5.55290315895324,8.17824208374621,6.27674384237488,3.72726715603917,4.77774549582238,11.9535490078926,7.33364219472629,10.1653478906799,7.10313113834461,2.16242866461357,3.06242695192591,5.78124895468426,4.87172260466657,4.98024177960637,5.83722738565264,4.00613663140619,2.43504237475971,3.79811619989291
