"month","month_Americas_out","month_Europe_out","month_Asia_out","month_Americas_in","month_Europe_in","month_Asia_in","total_out"
2010-05-01,44.5854567961637,59.0579766576455,50.8395803865578,21.6716144984207,25.7389122392995,107.072487102647,154.483013840367
2010-06-01,22.0177710028227,28.1236954414104,25.0751069954472,15.8209440915139,23.1117605291423,36.2838688190242,75.2165734396803
2010-07-01,18.8391052777247,23.6658621213633,19.9212999658627,18.0832620664313,17.4206756242687,26.9223296742507,62.4262673649507
2010-08-01,22.0299507737418,29.7709366490048,25.6421658893595,15.1365647512525,29.6496896572398,32.6567989036139,77.4430533121061
2010-09-01,17.4852893312295,21.4966810950856,19.7130667645817,13.0679933920622,19.0313963889852,26.5956474098494,58.6950371908968
2010-10-01,18.016684777387,21.1382802989972,18.977937505454,15.6010605862317,17.6538908903595,24.8779511052471,58.1329025818384
2010-11-01,24.9047259899606,30.3371464637405,24.6168219823246,22.603813737009,31.6571232850556,25.597757413961,79.8586944360257
2010-12-01,23.4640850789247,28.100454876196,23.7017573397853,18.4720318114087,28.7536551538002,28.0406103296971,75.266297294906
2011-01-01,16.2828288880915,19.2349387619797,16.7458723403478,14.0930060756105,18.7638846296437,19.4067492851647,52.263639990419
2011-02-01,31.761584995847,42.2786731220562,33.5822599680937,33.4342919906556,51.2812678163668,22.9069582789746,107.622518085997
2011-03-01,18.3921092895178,20.0494500148958,18.7609954920434,16.0581818503191,20.2742008975999,20.8701720485381,57.202554796457
2011-04-01,21.2697213113992,23.5490974924856,20.6260737355284,18.1609336465654,23.9357987776737,23.348160115174,65.4448925394131
2011-05-01,21.8033072381236,21.4662331730703,20.8147017334133,17.1338697841003,18.6056981243822,28.3446742361248,64.0842421446072
2011-06-01,20.1221581758292,19.1739343142624,19.3113640387426,13.3944064799407,15.6479873294986,29.565062719395,58.6074565288343
2011-07-01,26.681320601466,27.4185651594215,27.468397085842,25.5235479746813,26.9414386477712,29.1032962242771,81.5682828467296
2011-08-01,157.878196239274,151.370219996699,156.439440085697,341.748951000342,49.5766374215411,74.3622678997851,465.687856321669
2011-09-01,20.1674500318999,18.6714512845533,21.0325240515783,12.4798101323521,19.8405918180698,27.5510234176096,59.8714253680315
2011-10-01,31.3997038562207,26.8524391868525,34.8900208505283,19.7150513293003,30.191185130743,43.2359274335582,93.1421638936015
2011-11-01,30.1740300294563,26.9170212949703,35.3649672579859,18.5985427134197,27.211482598821,46.6459932701717,92.4560185824124
2011-12-01,26.6233694682658,25.2036598973593,26.3841092005559,26.9039710273554,22.0343796719134,29.2727878669121,78.2111385661809
2012-01-01,26.6772044203136,26.997795959521,24.9410114028172,17.6352075642106,33.5888129777688,27.3919912406725,78.6160117826518
2012-02-01,26.2266580363491,24.0596915952466,25.7361173881178,20.1282788467483,25.8480670491628,30.0461211238024,76.0224670197134
2012-03-01,22.4810626940526,21.4542809428152,21.8290569500374,17.1090033335602,20.5456078533634,28.1097893999816,65.7644005869053
2012-04-01,46.3924121797954,47.7963550141969,33.0496349309814,70.8409806209302,20.9878331717093,35.4095883323342,127.238402124974
2012-05-01,18.6427787500991,21.4676351578428,21.4914052595373,16.5437033130806,19.247283721207,25.8108321331915,61.6018191674791
2012-06-01,21.257059963807,25.3855560799162,21.9774328075593,20.232990500084,28.3635213706489,20.0235369805497,68.6200488512826
2012-07-01,18.2799088161671,21.9075760771759,19.5966721763033,16.8951376061773,22.3882726520061,20.500746811463,59.7841570696463
2012-08-01,18.6529789519657,22.1050497034709,21.1211622431621,20.0663192416735,18.5677486057052,23.24512305122,61.8791908985987
2012-09-01,15.2579554019066,18.2870417256213,17.5799584954663,17.1648475916126,14.4916455399273,19.4684624914542,51.1249556229941
2012-10-01,15.609774304591,19.0151764166478,17.6610670170116,11.9961350723612,19.1395762343658,21.1503064315234,52.2860177382504
2012-11-01,15.8947977237291,19.2967049595625,17.9851988764617,12.965291206866,18.8046971056429,21.4067132472444,53.1767015597533
2012-12-01,19.0374660863207,23.0270654821516,21.6193829630265,12.02612933169,24.5574796211099,27.100305578699,63.6839145314989
2013-01-01,14.6434524889381,17.3341414673836,15.2932338933387,10.980190135622,16.3032463396717,19.9873913743667,47.2708278496603
2013-02-01,24.0930444305745,29.1422791517267,24.7309734748475,19.6022307949263,25.1141647852127,33.2499014770097,77.9662970571487
