"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
2.479746735,-1.57067637,-0.512875252,-0.071886174,0.19611417,2.005295679,0.113714546,1.473031878,0.51146741,0.165925847,0.824847873,0.889471743,0.868239815,-1.20292977,-0.750428717,-0.470518084,-3.694280787,-3.758393036,-0.187070089,-1.39186071,-0.929974328,-0.656375743,-0.489899091,0.310110812,2.92690282,0.092983133,-1.240544608,-0.828177467,-0.757393015,-1.717754029,0.444039776,-1.719039257,-1.139749382,-2.894916925,-0.856165936
-3.204117308,-1.3183245,-3.837958176,-1.421691552,-1.52779645,-3.761452784,-2.016930835,-3.149046517,-2.147142592,0.061927201,-3.410112821,-2.892200568,-5.680475792,-4.415896303,-4.358558014,-2.771744883,-5.379252261,-7.230810979,-4.168196994,-4.076353501,-2.974153995,-2.507279372,-3.067703429,-4.670504147,-4.850666841,-2.575545355,-1.445480339,-2.8811539,-1.687316291,2.7571707,-3.125385759,-3.342854308,-0.504690442,-0.855427609,-0.112597481
-2.351163278,-2.339946762,-1.691181149,-2.245761125,-1.979151899,-4.422376729,-2.611998727,-3.159160506,-2.53773509,-0.40654121,-0.96148573,-2.295858942,-1.635741766,-2.647599694,-2.665205753,-1.737555729,-2.834311742,-2.897883674,-2.191407433,-2.319213462,-0.400853328,-2.339056141,-1.519588875,-2.641861433,-4.644810317,-1.487323286,-1.449812815,0.033734449,-1.939817589,-3.71179213,-1.738609938,-1.128993137,-0.579785753,-1.533899166,-0.197220162
-0.791946402,-2.812227495,-2.123876761,-2.074705649,-2.048868928,-2.925134863,-2.266281967,-2.220352329,-2.615974582,-0.054580503,-0.890296985,-1.713466908,-2.528530768,-1.860720395,-2.719929538,-1.795157695,-0.886794891,-1.969812824,-2.147757509,-1.586436517,-2.317498058,-2.842806348,-2.182041795,-3.515614151,-3.349810727,-2.699000134,-2.52325461,-1.334087314,-2.319679749,-3.886644315,-1.766767185,-2.408818916,-1.2592315,-0.613269935,-0.429553117
-2.578692528,-3.100137866,-0.516200235,-1.508567428,-0.22545009,-1.464909667,-1.245733143,-0.297012146,-0.451782795,-1.08685996,-1.372460128,-1.071314182,-3.04217442,-3.100219053,-3.368259881,-1.203252431,-5.328630404,-5.035268399,-1.637207922,-3.35159255,-1.434311913,-2.146066691,-0.325053692,-1.726549777,-0.956425962,-1.800868873,-2.811624775,-1.617824057,-2.26531509,-3.070322972,-1.133608838,-1.819438265,-1.463523055,-2.017939612,-0.375798195
-4.032160058,-4.564885839,-4.242090113,-3.70576694,-3.209628821,-5.047780481,-4.087042347,-4.143780994,-2.265521479,-1.732048957,-1.792006007,-3.973015058,-6.148650349,-6.628169248,-5.688737555,-4.97776254,-3.558383279,-6.035276415,-4.812383903,-6.088321542,-2.916472289,-4.015462767,-2.449710999,-5.904248964,-7.568389341,-1.769393679,-2.827699822,-0.845812107,-1.505897324,0.30875417,-3.057767089,-5.046768095,-0.642685192,-0.317267468,-0.322382762
-2.784725896,-3.555870928,-2.905738399,-2.405043024,-2.833014941,-3.407596916,-2.477173993,-2.817080386,-1.276796468,-1.167755391,-1.74100215,-1.472999015,-2.213395467,-3.030358128,-1.99910704,-2.852928405,-0.904163825,-2.923147168,-0.964030301,-2.919323703,-1.616036842,-2.252612484,-1.229345177,-2.615121175,-3.455181081,-2.059935217,-1.393820083,-0.084724229,-2.985182778,-2.634706251,-2.020856451,-2.986972991,0.26516857,0.426023283,-0.415960246
0.161380472,0.305955909,-0.401011941,-0.438564418,0.202814657,-0.646556734,-0.444627309,-0.839755849,-1.529103285,0.159728894,-1.179242677,-0.244434792,-1.102548531,0.72803518,-1.103947227,-0.172031957,-1.632283755,0.354686504,-1.714040538,1.225018874,-0.970029609,-2.258045843,-2.355086908,-2.631696555,-2.167995702,-0.335122829,-1.153808401,-2.423495235,-3.119386456,-3.11549468,-0.618100933,-1.46814068,-1.523061283,-2.245488959,-0.207663071
1.786077138,-2.483942806,-1.187155248,-1.586685911,-1.554426849,-3.396168574,-2.114693112,-2.046603212,-1.04161948,-1.19705171,0.019921425,-0.842671329,0.758348164,-3.011614197,-1.840718615,-2.147812581,-2.518997562,-4.008837638,-1.760460901,-2.93209835,-1.466559749,-1.920887831,0.009925713,-2.590498077,-4.631791484,0.243890131,-1.927230449,-1.010736861,-0.732797768,-1.117670392,-1.011774567,-4.825175189,-1.421277877,-1.117353687,-0.463451329
-0.306700726,-2.429760156,0.294492419,-0.385441565,0.25317896,0.78731332,-0.318730196,0.265765463,-0.317568168,-2.170307439,-0.891869936,0.697945816,0.66367054,-1.061015769,-0.207070376,-0.936742331,-3.356642967,-4.566623111,-0.050467354,-1.726073494,0.730312993,0.172296826,-0.169523511,-0.862012859,-1.77864559,1.026843943,-1.032591125,0.197841208,-2.433395333,0.1309368,-1.029706724,-12.988375649,-2.013941028,-1.671687149,-0.345288492
-4.042688138,-3.155102746,-2.630782174,-2.630510092,-1.758325576,-4.482373424,-2.577436361,-3.039806691,-1.035672828,-1.137504294,-2.908742286,-2.229995518,-5.412880643,-2.746821777,-2.9998206,-1.903341853,-2.231730791,-3.609480366,-2.067836727,-2.614596318,-2.371444196,-3.896510002,-1.821696924,-3.391054275,-4.114575945,-2.991689875,-3.269301007,-1.637789259,-2.29525059,-5.143931397,-2.143279036,-4.518030083,-1.895607123,-1.832501757,-0.055391676
-3.461994138,-2.561642315,-3.102451339,-2.491578337,-2.953546754,-4.918726271,-2.983130588,-3.842626805,-3.156655754,-0.458683806,-1.085849801,-1.59504105,-2.802719578,-1.200835387,-2.080781674,-1.579203739,-0.503803568,0.037808566,-1.694563054,-0.306253494,-3.93463102,-4.089969776,-1.821866587,-3.214206812,-3.287577284,-3.166213596,-3.609116832,-3.437484166,-2.765862781,-5.44992859,-1.796996578,-0.383137728,-0.13609634,-1.079827794,-0.458730133
-2.310949526,-0.209662693,0.349715367,-0.550971102,1.023385882,0.368731768,-0.237239867,-0.308046762,0.028590846,-1.894903383,-2.265102561,0.398287167,-0.997293425,0.732387402,0.005295689,0.91920689,-2.333347463,-1.322700565,0.394140358,0.430738561,-0.208686888,-1.435885128,0.016399198,1.282057469,2.049129896,-1.311992872,-0.678915248,-1.165015004,-1.969525333,-6.955919841,-1.387988681,-1.648395155,-1.83873859,-3.714966836,-0.21062916
-5.767993382,-4.215233166,-4.282214822,-3.504292189,-2.922229924,-6.025413819,-4.194990565,-5.286402723,-3.043121811,-1.628255915,-4.035584155,-3.28420185,-6.133675251,-4.956771873,-3.908808414,-3.301063919,-5.677130898,-5.520252528,-3.636937998,-4.565487305,-2.669578651,-3.960456713,-3.25955806,-3.514504152,-5.569942356,-2.931243625,-3.087527153,-2.841967985,-3.673930808,-4.732239616,-4.198495081,-6.038336401,-0.245965167,-2.529160294,-0.126279818
-1.624608852,-2.695119488,-2.914273134,-3.008352709,-1.775487311,-4.964739551,-3.449399179,-3.772692783,-1.63416033,0.08285226,-2.663852085,-4.378418915,-4.602954724,-8.051868004,-5.665749711,-4.67790238,-6.02389106,-10.863775834,-5.808902561,-8.26706053,-0.030062224,-2.078708573,-2.855734759,-5.176033208,-9.803408305,-0.285443764,-0.412865676,-0.040512948,-0.914556015,-1.692016665,-2.987806375,-5.797525553,-0.894463221,-3.33987609,0.185884387
-3.262146414,-2.350825854,-3.215643639,-2.780239424,-2.719073316,-4.824404125,-3.306100979,-3.902070461,-2.016593117,-2.277814874,-2.538352664,-3.01708077,-3.494438818,-5.43736551,-4.448691994,-2.860168133,-5.68895407,-6.575312235,-4.082176695,-5.377200652,-1.994180983,-3.391945602,-1.607960094,-3.263901366,-6.20145061,-1.737331749,-2.330303002,-1.756671081,-2.202613631,-2.772321737,-3.176437658,-0.951966772,-1.207982867,-3.034380288,-0.685908446
-3.080637712,-3.176090398,-2.993483794,-1.947276439,-0.72208901,-2.118223338,-2.009793468,-2.190328397,-1.363933626,-1.667587189,-3.4316574,-2.951436938,-5.469162329,-3.920222411,-2.540903066,-3.040889592,-5.99727735,-6.150487487,-2.553805462,-4.051380931,-1.898695954,-6.55865656,-2.280666668,-2.356395184,-1.995558361,-2.410827521,-3.26747914,-3.067316446,-2.914385522,-3.977084224,-2.67347742,-10.435305244,-0.919163138,-4.929751345,-0.166928637
2.327404278,-1.813967019,2.315990793,0.660118505,0.93776578,2.521300441,0.691267351,1.872202072,0.314643905,-1.090093667,0.960950346,1.588499368,4.1419787,-0.503607357,-0.557343072,0.069869448,-2.133302104,-4.652420089,0.495057835,-1.436537062,2.400845467,0.727566745,1.195209774,0.444416852,-0.714532415,2.818931343,0.857082003,2.654991606,-0.47678133,0.352334534,-0.044148875,-8.139353984,-2.391607763,0.501653331,-0.575635291
0.806341306,-2.422295952,-3.74227952,-1.778791873,-3.252650011,-3.164125582,-2.169070935,-2.087237502,-0.715191596,-0.528266201,-0.803956565,-1.218306782,-3.319059479,-4.740156108,-3.953110634,-2.352821745,-3.528261108,-6.637827551,-3.466910636,-4.491002638,-3.749909057,-2.767563941,-0.391319587,-4.385833674,-3.586144165,-2.557418348,-3.32315773,-2.903907686,-0.628802281,-1.759595252,-1.662554939,0.919567251,-2.751939453,-1.923798651,-0.977073915
-0.770076461,-0.882530944,-1.957662934,-0.811913231,-1.487785087,-1.407787471,-1.25937106,-1.76987058,-0.980911806,-2.274862456,-1.27919838,-2.073894397,-1.523773439,-2.285597758,-1.861223912,-2.359274467,-3.66396342,-2.332723747,-2.029626097,-2.205585309,-1.24860295,-4.766817784,-0.937085116,-0.594196602,-1.496160762,-1.141936602,-1.744082369,-1.945189141,-1.293493093,-2.14667149,-1.620434603,-3.199728444,-1.484937132,-3.856745266,-1.273013961
-1.919089261,-2.611921511,-2.257460197,-0.971122463,-2.692350251,-2.121078979,-1.276897879,-1.704130995,-1.049095685,-2.226526537,-1.833540263,-0.702245691,-3.494045518,-2.171913301,-1.965282399,-0.881825402,-0.805756139,-3.674252883,-1.36004634,-2.138691587,-0.914433461,-1.465085234,-0.05115158,-1.290399582,-2.517215641,-1.644637867,-1.169422002,-0.325088958,-0.802555391,-3.908994463,-2.649861199,0.058530349,-1.456877219,-0.608649448,-0.66171793
-4.29046467,-0.573465693,0.404974121,-1.752569249,1.24773051,-2.610844016,-2.025871289,-2.549850207,-1.730818458,0.860405826,-2.49934055,-2.854602233,0.975311718,-2.673895605,-1.524506437,-2.714472384,-4.908755542,-2.15502126,-1.242413291,-2.820570963,-0.435030314,-5.984348197,-2.439357442,-1.776341253,-1.929670454,-2.004968935,-3.530702513,-3.001929863,-3.330871278,-4.248682452,-0.342895732,-5.509970483,0.069248427,-5.885819489,-0.2133503
-2.749845772,-3.239137557,-1.829701948,-2.181052945,-2.102226485,-4.026112509,-2.562120763,-2.766206154,-1.919507687,-0.12629747,-1.625449565,-1.86935556,-1.594813846,-2.996826235,-2.655600013,-2.676431428,-2.561565794,-3.464349294,-1.976193162,-2.764286673,-1.555580231,-2.554540287,-1.947369848,-3.522952262,-5.14322632,-1.379524006,-2.272008192,-0.850102622,-3.353872861,-2.475152571,-1.535942122,-4.769517099,-2.079178043,-1.311961991,-0.235244594
-2.650169953,-2.044446868,-2.389321181,-1.70575298,-2.139870439,-3.026647104,-2.353048203,-3.156932946,-3.479739038,-1.204730432,-1.583723332,-3.289864679,-3.170452695,-3.367458283,-1.964250631,-3.206643726,-4.624030735,-3.274509402,-2.090170312,-3.309772578,-1.330892043,-5.587892928,-2.936271345,-0.8459283,-1.397751268,-2.222931597,-1.917833988,-2.296454369,-2.855095469,-3.615701379,-2.939304246,-8.10102944,-0.050327559,-5.799694515,-0.693043715
