"Merval","IBOVESPA","AXJO","DJI","GSPTSE","RUT","SPX","IXIC","MXX","SPCLXIGPA","WIG20","GDAXI","IRTS","FCHI","AEX","SSMI","XU100","IBEX","FTSE","STOXX50E","KS11","N225","TA35","SSEC","SZI","TWII","HK50","STI","NSEI","VNI30","SA40","EGX30","MASI","NSE30","DSEI"
0,180.774891320171,98.9253752843415,80.1623366412134,88.8264872849056,116.862488000821,72.7927687677396,105.115169066511,142.840110969822,115.864708002888,149.588508842795,87.4366563833771,157.733034297109,68.2036356366069,76.4504283768446,81.4364115457753,109.705699923183,90.1121360445386,83.9039479501567,58.8703821943838,68.4260545444106,91.5076212533552,108.392836539792,73.2183073623151,107.34338852852,90.8931447023479,110.095036938631,71.8260550235987,107.444617268196,102.632387061516,105.006922487168,101.025521823593,88.0734915873898,122.253230784529,112.981114102136
216.20935242414,0,76.5129741720714,171.658592585115,103.099162259552,296.849532168985,157.253798888359,137.084344991982,162.668648434782,119.125008621972,143.280281568565,50.0357879664782,182.921933507353,92.142537999134,69.6058806958179,104.013227361683,117.243480363189,103.506167796094,135.589345283935,67.7665813762236,158.704394687817,154.89347587976,171.852160215901,92.7957390492956,104.110575905873,294.690706162971,119.685249302948,191.054717055914,256.390427249095,124.751206081824,242.283376160075,198.146014136125,124.459379367155,193.840024654281,208.769143076965
153.151065842716,568.110565415293,0,322.681720962952,511.418561638195,511.193540709513,409.429949474541,501.781321053564,676.687086844649,520.682567684229,1740.15751335549,1213.33535395032,1283.54601397983,859.755737672641,810.952388413515,706.017143654615,551.505909926169,992.136623606416,1228.22086325308,983.512222343078,897.33300659819,578.978794071623,1132.52020167378,81.2256805584523,186.797387906673,91.8715620166,175.705467333984,719.670014898008,824.309458069051,571.470368254889,288.796817128649,1180.53243383341,989.505116355744,1159.66389976778,325.598910427866
49.7537339207339,45.5040856958731,33.2269938632815,0,60.6642581731003,111.214368644063,109.118358901654,99.3339016094755,43.8060578848239,33.6846642307114,52.698738684786,63.8372208024639,46.8136526006596,61.2387237796139,63.2128834523787,47.3242282273209,29.373230880654,61.2238976917969,54.1296073484194,62.8283469869365,33.2894040299375,63.4554125576323,29.2044906824698,16.9669111817443,31.163451189443,24.3528340734236,38.4307980348746,28.225457775415,27.2051331560692,38.0583578590726,56.5695200154205,50.9991935832154,17.4415426496899,31.4298067598197,33.1317118921884
113.423565089684,141.087968165357,138.770116408863,197.715264947803,0,273.578235980118,208.996594164108,231.565179174498,112.441867554666,86.5161443128913,130.650040747704,187.358202956604,112.759775043514,170.684723023634,183.074534893029,129.827412973671,42.4854297065715,153.995106168867,146.839235114685,178.055082549136,118.126240518333,47.9155858586225,156.192931077525,34.1913034155816,64.8206988362243,67.3095932962885,51.7946496185542,42.4324788692189,63.8984100793881,98.3282185745698,152.329914832381,43.4657991655042,38.5663599173051,57.5742752673583,27.0551573165276
136.379974521088,188.97810250528,101.796173471879,301.823203385234,202.38426196694,0,319.790264643798,338.521449848155,154.992830325545,67.0683268903458,61.9255309445129,204.09030250778,260.328934597924,228.930754971386,226.651047613748,86.7564515366923,103.359259986452,246.083382529596,207.224768287627,213.033417541453,112.99521673834,147.870966368161,215.855630432017,33.3509772158121,93.0699344688781,76.8796752405389,77.1206056624595,85.1617085376797,54.6054065456318,54.1614849279207,133.852908175643,99.1842513947155,174.812134216092,142.552019489157,70.7043010535699
146.997245101665,105.703572247472,119.238439251266,302.817445123982,129.766826827823,335.084399707997,0,366.918291394632,107.291561907127,48.575185107117,80.5133132127117,188.391997413221,132.654530197906,186.046011629177,186.330047698016,149.376766190032,72.962953326938,157.503202104917,145.878374219531,190.980849396483,119.39306998657,162.498870210061,69.2133426158997,50.0506757362547,86.2171990532804,56.7815157431664,120.591212492121,100.613402627421,72.0308364902575,55.7211688805411,108.481609727264,59.9667532862991,36.0201770217873,70.6859770517821,38.5364358444326
56.5485050112573,35.4358460235532,47.6589156458977,123.508591491997,54.3623866446432,166.566062584986,162.119019956779,0,41.9387623554531,33.6236693790536,24.9346423765776,59.0296007778505,34.1725813694593,51.990160606817,70.1386410110931,49.9257417399953,37.0818865419211,40.1658129141165,43.4681868193745,53.8370952147376,51.3332706009784,53.4913545831213,36.1336399930358,28.9744976882853,44.7507187080958,41.3039346339971,39.6878959240165,25.7302722761269,33.7403249501883,26.7624839078341,51.0433120290541,34.5873664214845,29.3454924715726,28.9588448930476,20.0939981931225
60.3268772507134,62.3354221189514,35.0243277336893,38.5752432963148,31.3863581120565,55.0280423684396,38.2630662090505,45.8803691603812,0,51.5061225811537,86.4521938069635,39.2857332048866,69.8448293298211,51.8493732725387,43.9578590322196,30.0136074800553,46.4267009610504,50.3076188999212,39.7581164875288,44.4024725471994,40.1569739434706,42.2418197349897,31.4276112263561,29.8835788903748,51.6256456242334,28.3098123529867,51.2016638343366,31.2274505499634,70.3868318664269,33.1634083167019,66.7983511617357,36.4959508225961,35.7381230098143,52.1174579535745,40.1528334177371
82.1412682853942,79.3886887379088,43.1714746683354,42.8996390568927,42.2147673253447,74.8716618933388,33.0690444626257,33.6086882240314,95.809235530904,0,58.0028556032977,41.5369487891162,78.2190103346332,46.7026106650912,46.2476946731091,43.7264037081977,73.4153363937151,71.6698963913742,47.4381914966836,47.9986888025953,56.1652122515831,55.7441885240472,54.9155774951302,47.8780214309307,46.6239111939645,56.7204325704825,68.6889447995066,51.4674364672734,64.1726754921551,64.2729658796692,80.8075324967606,58.1231378126512,48.1701100831221,41.6731185578796,40.3184026098737
60.3939136051909,68.3305163784149,58.7049444366963,41.2418530433314,32.6041239547179,39.2454344700768,30.1579952375252,34.6208849160434,73.8835395334486,47.3704877253719,0,74.7582210791812,98.6795317167078,56.1714662896915,43.3873140984255,41.7347863352995,83.0704805074985,77.4601829217916,41.0113267519109,58.3767766623657,49.2341543241948,40.2211558679519,63.8357725491234,33.9289546730611,42.7482593538313,47.0239869461091,68.7253483395348,35.3505984648321,63.3403938958473,47.6876164742579,88.1462615834608,47.1627095666304,29.219582670428,36.1605327266605,27.5596187684531
83.1144851911868,119.38817729694,94.2676980386509,119.807955757635,85.1644952573371,165.801112191907,107.8541552094,97.0006372704728,59.1848331763412,60.4215826054338,190.759508719987,0,147.998776300573,262.347004540603,223.841554167516,153.102110222322,87.4949340310525,244.898730519172,155.390965331212,302.181321256764,89.7578240997055,167.33145601138,108.373573020095,25.4412286865243,30.5705985782329,70.132703150754,66.5926109984282,81.4049945296279,127.334535090386,90.9939844312114,90.1002356263055,35.0636139197993,30.2569595940002,50.9128076910038,31.6934005119864
122.129590597338,154.041212533436,100.911777110285,63.0628316480103,85.5258585667188,103.266307505064,62.7488463153503,69.0096059225304,133.421931640396,102.290013862517,186.71097473062,82.4461024945139,0,83.1254718823464,89.2515291010104,61.1763364062894,112.297213580557,84.4863286106064,79.7071496312166,70.4195652868151,93.3482064883253,90.9505935911946,125.175111254766,76.3297906951126,98.168470671021,81.2395624708155,104.448744763572,104.323544056469,125.55806571473,116.01599816963,113.055071619371,120.317734430381,75.2464503961493,94.3670887515727,80.0148884642507
31.4723476971472,36.8987365645124,32.2422398848353,48.3212176528189,31.7756328052658,70.4108904992281,47.1660489022769,52.734456949842,36.584202821004,22.1968955097236,63.5789395873082,119.029605777143,45.7556182604203,0,92.1020903797696,66.992423640246,29.8517128586466,117.653307783814,67.5554090523692,139.264163097085,37.36384540059,62.1513945207291,22.392731079715,20.4308715648151,25.7447696189529,23.4435018866045,31.5171082437378,29.6094865549308,30.5367846802855,21.520418566269,53.515159360794,20.6978153889512,15.029677326368,15.8823129804255,18.0860357396629
40.9264800290693,35.6303881257014,41.4315344045444,57.9214555157123,47.3007415072256,85.8623511031478,60.9884346132415,70.0664128419636,31.4271706251773,38.3746679181569,77.4026958755879,122.633566548486,71.5180519617155,118.656129624308,0,81.457494093654,35.3242443737833,105.542570438478,87.9680130562627,128.566164083511,44.6752955454355,57.1419573725442,43.0836786280339,21.6171968752266,21.547392439831,27.7840735303326,40.2578887155246,38.2527531463654,38.1171835882839,32.828236412496,62.1481235936305,36.7453993324996,20.9983690372839,21.9664408887113,24.9789716615491
23.8540467595334,31.2469802977479,45.7586183493543,42.1945923475408,28.7790464726218,41.4992582557692,42.5844583080899,51.2362911592612,29.6097375274778,28.0513778166077,46.2218339070636,62.5597718754811,42.549125768447,62.3373165482933,59.8514955312826,0,24.6500254148687,50.048998448701,51.5755591714823,64.347313094592,25.8901145796934,48.5734129756419,23.1104678315791,17.9119134360229,23.9888039953217,20.9032154222332,20.1979011816923,18.8888017653041,24.5820591164826,14.4460562222063,40.8111171231257,38.3640696279596,18.3671678501125,25.847675070712,23.3400787438294
92.9799684477996,132.227092620575,73.309939821347,60.237343576545,51.7687624027746,57.2845082840286,38.7711069928507,51.7557921818003,74.9896387140093,94.1015589509892,101.042256764079,75.4517250528811,129.040383853396,57.1343132927187,61.6272276099966,56.3624559775955,0,94.4187448202597,69.8272524032203,55.5699611427854,85.5653500506256,76.2774055068069,58.8647282770542,63.4116348118369,71.2365621835603,72.5157708021751,96.1686014039207,55.2102029360796,111.767954376783,94.6114039881151,94.5541594333233,96.6160208507536,62.4132097538153,112.083028073523,66.2362088675233
55.6919724786174,94.094892516371,36.5721191542697,65.9821822134703,50.7598012097118,96.5990674391511,57.8186098024623,59.3458571348137,76.2822239193728,56.4886466342859,108.096573911191,161.516415442435,91.7443989816785,207.012327504343,117.183621418575,55.4504064073073,61.1305714059812,0,89.7953668436632,238.751340003118,38.386198115846,114.057568734066,66.6978315478982,49.796832382457,51.7995415925039,55.1337683935422,70.2356907796597,67.8909052127898,60.3533014031161,42.377881234627,41.1234957594838,43.6365833342787,49.0416716492856,72.1585024997333,48.0857860306268
42.7420786096081,43.6569445128957,44.1501761934019,61.5879581577689,50.7731788945683,83.3716699290498,55.3929683485296,55.3826566651341,48.5071249106317,41.8987594171925,60.0888379991694,85.0996811274185,56.817123965868,94.208258321398,94.5008942607111,81.5133689957386,43.0349349598575,75.0699599929534,0,89.7236567596328,34.9355847634103,53.2605146434283,22.6079106386284,23.9543264016755,28.0833647766965,26.4119580421004,39.7008264272662,31.935755087474,35.9415976647125,33.1388601594917,70.0437471876995,33.1934146228653,20.7212803692205,18.383313967289,14.8797878278679
47.0596813448596,71.969509193542,30.639778119956,59.7079389388818,27.1531427370668,83.8652613040542,57.436225917366,59.2292383885213,36.8668959139495,27.1161526166349,103.633707344557,201.642616949239,55.0552484759771,198.809309379981,149.46545163662,108.843145737844,33.0961944856094,194.391587777123,98.9494529215657,0,40.2648499479386,93.2420396875827,54.7057178212312,16.5551760613078,23.9783511054104,31.1892533995417,55.0646031743639,43.2937108935858,53.3703510562157,26.7933444233188,51.2234936554467,29.7007671146509,28.4140049719956,25.7093734479126,25.5381772074365
