"Americas_in","Europe_in","Asia_in","Americas_out","Europe_out","Asia_out"
13.9517234093496,8.90610800389461,14.0431248770409,12.7000532478734,12.9549421110009,11.2459609314109
27.158698007318,32.4589652406318,17.8357792323579,24.3141616091559,30.5926733341786,22.5466075369733
9.88466663909376,22.0733569978238,24.3624522644553,16.6649868103441,20.6610601265701,18.9944289644586
14.2015002933685,16.616169113493,22.6434342129907,16.1610033766972,19.4006183070309,17.8994819361242
13.7310359329471,18.8548175709216,20.4414574993686,16.4837352497504,19.4379932461268,17.1055825073601
38.9360125899381,58.0284802865546,49.6237093722292,44.2423492564404,58.6506253382427,43.6952276540388
12.1759788279204,17.160527928446,18.1559307771461,14.8788307402195,18.0821012347157,14.5315055585772
6.6859273740402,15.3258481467546,19.7272442994708,12.3629922272839,15.212895156987,14.1631324359948
13.6097757487641,16.8486386534511,17.4171835798047,14.5952534179885,18.6663058365623,14.614038727469
14.260992174207,15.625297690096,19.2470812850866,15.2482067800868,17.8620705580076,16.0230938112951
23.0800725595515,25.5021312119982,12.9422055861693,19.7508586898373,20.8344765651955,20.9390741026862
18.8126610285262,24.9817521260963,12.4763098311096,17.1137188697015,20.4715285320922,18.6854755839385
18.1427734672289,13.9663138094955,17.8008188258412,14.9959819645477,17.5667401402675,17.3471839977504
64.8771372317691,48.940905984512,21.7982992977592,43.1120869120776,52.2660107802533,40.2382448217095
39.5879416410437,96.24810898896,28.9244069986723,46.7625714051217,70.6885727477432,47.3093134758111
12.0616596596255,22.1302805933659,18.5542676188432,15.8344699482188,19.6409838015805,17.2707541220353
17.9531330835362,18.0913611649907,18.3458680233287,16.4799156243334,19.0820636968945,18.8283829506277
13.7574158283581,15.2319392318128,20.6804816163155,16.42509123376,16.7783612450114,16.466384197715
19.7074828458963,23.7056686152676,35.3103418952127,25.6283421845397,28.561569929628,24.533581242209
14.0147139337526,25.2617418941532,22.8270191111476,19.4416822321598,22.6125011132158,20.0492915936778
14.669645882791,20.8918280401618,13.1605547786614,15.3719183419843,17.5940019797433,15.7561083798866
